,TITLE,PARTNER COUNTRY,,ADDITIONAL COUNTRY,SHORT DESCRIPTION                                                                   (max. 300 words),"RELEVANT SOURCES                 (e.g. website, bibliographical reference, etc.)"
1,KI-Campus,DE,,,"Online-Courses, Videos and Podcasts on different topics around ai and data literacy",https://ki-campus.org/
2,Hessenhub: impulse series ‘AI for Education: How Artificial Intelligence is Changing the Higher Education Landscape’,DE,,,Lectures on different topics concerning AI for Education,https://www.hessenhub.de/qualifizierung/hessenhub-impulsreihe-ki-for-education-wie-kuenstliche-intelligenz-die-hochschullandschaft-veraendert/aufzeichnungen-der-impulsreihe-ki-for-education-wie-kuenstliche-intelligenz-die-hochschullandschaft-veraendert/
3,German National AI-Strategy,DE,,,The National AI Strategy of German Federal Government (in German),https://www.ki-strategie-deutschland.de/?file=files/downloads/Nationale_KI-Strategie.pdf&cid=728
4,Action Plan Artificial Intelligence by the BMBF,DE,,,The Action Plan Artificial Intelligence (2023) by the German Federal Ministry of Education and Research,https://www.ki-strategie-deutschland.de/?file=files/downloads/Aktionsplan_Kuenstliche_Intelligenz_2023_EN.pdf&cid=1336
5,TUM AI Strategy,DE,,,The AI Strategy of the Technical University Munich,https://mediatum.ub.tum.de/1766632?id=1766632&change_language=en https://www.tum.de/en/news-and-events/all-news/press-releases/details/tum-issues-a-comprehensive-ai-strategy
6,Guidelines for the use of ChatGPT and other generative AI tools,DE,,,"Guidelines for the use of generative AI tools in research, teaching and administration at Humboldt-University Berlin",https://ki.cms.hu-berlin.de/en/guidelines-for-the-use-of-chatgpt-and-other-generative-ai-tools/guidelines-for-the-use-of-chatgpt-and-other-generative-ai-tools
7,Künstliche Intelligenz in Studium und Lehre ( Artificial Intelligence in Studies and Teaching),,,,Recommendations for dealing with Artificial Intelligence in Studies and Teaching at the University Duisburg-Essen (in German),https://www.uni-due.de/imperia/md/content/e-learning/strategie/ki_in_studium_und_lehre_-_empfehlungen_zum_umgang_an_der_ude_v1.0.pdf
8,UC Berkeley AI strategy,,,USA,"UCB offers a wide variety of AI enhanced academics: a lab (BAIR), a law AI institute and a policy hub are prominent examples.",https://www.berkeley.edu/ai/
